class,inspired_by_benchmarks,input_token_dist,output_token_dist,arrival_pattern,concurrency_pattern,slo_class,prefill_pressure,decode_residency,kv_lifetime,prefix_reuse,session_affinity,routing_difficulty,likely_failure_mode,real_traces_exist,synthetic_required,min_first_impl
interactive_chat_global,"WildChat-1M; LMSYS-Chat-1M; BurstGPT; Azure LLM Inference Trace 2023/2024; LMSYS Chatbot Arena; ShareGPT","30-2500 (WildChat MEASURED-short-sample extrapolated; LMSYS ESTIMATE; BurstGPT/Azure varies-MEASURED)","30-2500 (ESTIMATE for chat; BurstGPT/Azure varies-MEASURED)",interactive/bursty (real for Azure+BurstGPT),high,strict-TTFT,medium,medium,session-persistent,high,required,high,head-of-line-blocking / session-affinity-failure / kv-cache-pressure,yes (BurstGPT+Azure; partial LMSYS/WildChat),partial (arrivals real; tenant tier + text synthesized),"Replay BurstGPT (Timestamp+Session ID+tokens) as arrival/session backbone; attach WildChat text by matching token length"
rag_qa_stateless,"RAGBench; HotpotQA; MuSiQue; Qasper; TriviaQA; 2WikiMultihopQA","500-5000 ESTIMATE (question + 4-20 passages)","5-500 (RAGBench response 50-500 MEASURED; HotpotQA 5-50 MEASURED)",batch (synthesized Poisson),high,strict-TTFT,medium,low,short,high (shared documents reused),none,medium,prefix-cache-miss-penalty / decode-backlog-overload,no,yes (arrivals; prefix structure is real),"Load RAGBench q+4-doc rows; hash document set into prefix-cache groups; fire under Poisson to test prefix-aware vs prefix-blind routing"
long_context_extreme_prefill,"LongBench v2; LongBench; L-Eval; NarrativeQA; Natural Questions","5000-2000000 MEASURED (LongBench v2 up to 2M words; L-Eval 3k-200k; NarrativeQA ~41k; NQ full Wikipedia page)","1-1000 (LongBench v2 MCQ=1 letter MEASURED; QA answers 5-50 MEASURED)",batch (synthesized),low (per-request memory hog),strict-TTFT,extreme,low,short,low,none,high,OOM / prefill-starvation-of-decode,no,yes (arrivals; context lengths MEASURED),"Stream LongBench-v2 + L-Eval contexts bucketed by length (<32k/32k-128k/>128k) under synthesized arrivals to test length-aware admission and OOM avoidance"
long_doc_summarization_streaming,"arXiv summarization; PubMed summarization; GovReport; MultiNews; BookSum","2000-100000 (arXiv ~6038 ws-tok MEASURED; PubMed ~3043 MEASURED; GovReport/BookSum ESTIMATE)","100-3000 (arXiv ~299 MEASURED; PubMed ~215 MEASURED; GovReport/BookSum ESTIMATE)",batch (synthesized),low-medium,strict-TPOT,high-extreme,medium-high,short,low (BookSum: medium chapter reuse),none,high,prefill-starvation-of-decode / decode-backlog-overload / OOM,no,yes (arrivals),"Replay arXiv/PubMed input+target lengths under synthesized arrivals with a TPOT SLO to test co-scheduling long decode without prefill starvation"
strict_slo_autocomplete,"RepoBench; DevEval","2000-16000 ESTIMATE (retrieved repo context)","10-150 MEASURED (RepoBench next-line target)",interactive/steady (synthesized IDE cadence),high,strict-TPOT/TTFT (IDE latency-critical),high,low,short (file/repo-session-like),high (same repo_name across rows),medium,high,prefill-starvation-of-decode / prefix-cache-miss-penalty,no,yes (arrivals + IDE-session model),"Group RepoBench rows by repo_name; route same-repo completions to one node under high-rate synthesized arrivals; measure prefix-cache hit rate vs round-robin"
swe_repo_agent,"SWE-bench; SWE-bench Verified; SWE-bench Pro; SWE-Lancer","2000-50000 ESTIMATE (repo+issue; SWE-bench Pro problem_statement 419-8.04k chars MEASURED)","100-3000 ESTIMATE (patch / per-step actions)",batch (harness-fired),batch-synchronized,relaxed,high (Pro: extreme),medium,long (agentic session; monotonic KV growth),high (repo prefix reused per turn),required (task granularity),high,kv-cache-pressure / prefill-starvation-of-decode / unfair-tenant-starvation / cancellation-waste,no (static tasks; harness must generate trace),yes (harness multi-turn trace + arrivals),"Run SWE-agent on SWE-bench Verified (500 tasks); log per-turn (input_len,output_len,task_id) for monotonic-KV traces; route by task_id stickiness"
workflow_tool_agent,"ToolBench; AppWorld; tau-bench; AgentBench","500-5000 ESTIMATE per step (query + api_list)","100-2000 ESTIMATE per step (action/thought)",batch (tau-bench: interactive user-sim),medium,relaxed (tau-bench: strict-TTFT in loop),medium,medium (AppWorld: high),long (loop spans many steps),medium (shared api_list per family),required (loop = session),high,session-affinity-failure / cancellation-waste / kv-cache-pressure,partial (ToolBench/AppWorld static trajectories; no real arrivals),yes (arrivals; per-step structure real),"Replay ToolBench DFSDT trajectories as fixed per-step token sequences under synthesized arrivals; route each solution-path's steps to one node for session-sticky tool-loop tests"
browser_computer_use,"WebArena (text DOM/AX-tree); VisualWebArena (multimodal); OSWorld (multimodal VM); WorkArena (gated)","1000-15000 ESTIMATE per step (WebArena DOM 1k-8k; OSWorld screenshot+a11y 2k-15k; +image tokens for multimodal)","50-500 ESTIMATE per action (tiny)",batch (harness),low (OSWorld VM-bound) to medium (WebArena text),strict-TTFT per step / relaxed (OSWorld),high (OSWorld: extreme),low,long (episode),medium (page DOM/screen reuse),required (episode = session),high,prefill-starvation-of-decode / kv-cache-pressure / OOM (multimodal) / session-affinity-failure,no (live env / VM / Docker; WorkArena gated),yes (arrivals + harness/VM; multimodal adds image-token channel),"Start with WebArena text (no VM): generate per-step (DOM_len,action_len,episode_id) traces from raw prompt observations; route by episode_id; add multimodal image-token channel later"
batch_eval_throughput,"MMLU; MMLU-Pro; GSM8K; MATH; HumanEval; MBPP; BBH; Big-Bench; HELM; lm-evaluation-harness; LiveCodeBench; BigCodeBench","30-2000 ESTIMATE (HumanEval 50-300, MBPP 30-200, GSM8K 50-200 MEASURED)","1-1500 (MCQ letter 1-5; CoT 100-1500 ESTIMATE for MATH/GSM8K/MMLU-Pro)",batch (native; all fired at start),high / batch-synchronized,background,low,low (medium for CoT),short,low (BBH: medium shared CoT exemplar),none,low-medium,decode-backlog-overload / unfair-tenant-starvation,no (synchronized batch is native pattern),no for throughput (partial if staggered arrivals wanted),"Fire MMLU + GSM8K + HumanEval as one max-concurrency batch (mix short-decode MCQ with longer-decode CoT) to measure throughput and decode-backlog fairness under saturation"
production_mixed_enterprise,"Mooncake Trace; BurstGPT; Azure LLM Inference Trace 2023/2024; Azure Functions Trace 2019 (arrival donor); Alibaba GenAI GenTD26 (LoRA IDs)","varies-MEASURED (Mooncake input_length; BurstGPT Request tokens; Azure ContextTokens)","varies-MEASURED (Mooncake output_length; BurstGPT Response tokens; Azure GeneratedTokens)",bursty (real production; Azure Functions 2019 as burstiness donor),high,mixed/heterogeneous (per-tenant tiers synthesized),varies (high tail),varies,mixed (BurstGPT session-persistent; Azure short),high (Mooncake hash_ids ~50% hit - only public prefix-hash trace),required (BurstGPT Session ID),highest,head-of-line-blocking / tail-latency-explosion / unfair-tenant-starvation / prefix-cache-miss-penalty / session-affinity-failure,yes (4 real arrival traces form backbone),yes (overlay tenant tiers + SLO classes + tool structure),"Replay BurstGPT (arrivals+sessions) and Mooncake (arrivals+prefix hash_ids) as backbones; assign synthetic tenant tiers + SLO classes per session; evaluate joint stickiness + prefix-locality + tenant fairness"
