benchmark_name,feasibility_class,direct_arrivals_available,input_available,output_available,session_available,tool_calls_available,timestamp_available,synthetic_fields_needed,estimated_effort,suitability_rank,notes,source_urls
Mooncake Trace,direct_trace,yes,yes,yes,no,partial,yes,SLO class;tenant ID;session ID;LoRA adapter ID;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,low,1,"Best for routing: timestamp+input_length+output_length+hash_ids (remapped prefix-cache block hashes, UNIQUE here, ~50% cache hit) + toolagent/synthetic sub-traces. No prompt text (remapped). Prefix ID already present via hash_ids.",https://github.com/kvcache-ai/Mooncake;https://www.usenix.org/system/files/fast25-qin.pdf
BurstGPT,direct_trace,yes,yes,yes,yes,partial,yes,tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,low,2,"Real ChatGPT/GPT-4(Azure) trace: Timestamp+Session ID(conv mode)+Request/Response tokens+Log Type(conversation/API). Largest BurstGPT_3 ~110 days/~5.34M rows. Token counts only, no text. Log Type gives coarse tool/API split.",https://github.com/HPMLL/BurstGPT;https://arxiv.org/abs/2401.17644
Azure LLM Inference Trace 2024,direct_trace,yes,yes,yes,no,no,yes,session ID;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,low,3,"Real trace, 3 columns: TIMESTAMP+ContextTokens+GeneratedTokens. One-week sample May 10-19 2024 (code + conv CSVs). No prompt text (GDPR). Prefix-hash ABSENT. Row count not stated on page.",https://github.com/Azure/AzurePublicDataset/blob/master/AzureLLMInferenceDataset2024.md
Azure LLM Inference Trace 2023,direct_trace,yes,yes,yes,no,no,yes,session ID;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,low,4,"Real trace, 3 columns: TIMESTAMP+ContextTokens+GeneratedTokens. Single snapshot collected Nov 11 2023 (code + conv CSVs). No prompt text (GDPR). Prefix-hash ABSENT.",https://github.com/Azure/AzurePublicDataset/blob/master/AzureLLMInferenceDataset2023.md
LMSYS Chatbot Arena Conversations,direct_trace,partial,yes,yes,yes,no,yes,arrival timestamps;concurrency model;output length model;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,med,5,"Has tstamp (per-conversation, not per-request arrival) + raw multi-turn conversation_a/_b text + turn + language. Token lengths must be derived by re-tokenizing text. NC terms may apply via underlying model APIs.",https://huggingface.co/datasets/lmsys/chatbot_arena_conversations
WildChat,direct_trace,partial,yes,yes,partial,no,yes,arrival timestamps;concurrency model;output length model;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,med,6,"Per-assistant-turn timestamps (response-receipt, not request-arrival) + top-level last-turn UTC timestamp; conversation list (role/content); hashed_ip+headers ~ coarse tenant; conversation_hash NON-unique session. Tokens by re-tokenizing. Full version gated; ODC-BY.",https://huggingface.co/datasets/allenai/WildChat-1M
Alibaba GenAI Serving Trace (GenTD26),direct_trace,yes,partial,partial,insufficient evidence,partial,yes,heterogeneity label;output length model;session ID;tenant ID;SLO class;API latency;cancellation probability;priority tier;P/D routing annotations,med,7,"Real top-down request trace incl lora_request_trace.csv (LoRA adapter IDs present), pipeline_inference_data, pod_gpu_duty_cycle. NON-LLM: Stable Diffusion/GenAI image, not text generation (heterogeneity caveat). License unknown (no SPDX match).",https://github.com/alibaba/clusterdata/tree/master/cluster-trace-v2026-GenAI
LMSYS-Chat-1M,payload_only,no,yes,yes,yes,no,insufficient evidence,arrival timestamps;concurrency model;output length model;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,med,8,"OpenAI-API-JSON conversations + conversation_id(session) + language + moderation tag; collected over 210K IPs but raw IPs not exposed. Timestamps insufficient evidence on accessible card. Gated (custom license); PII-redacted (NAME_1 placeholders).",https://huggingface.co/datasets/lmsys/lmsys-chat-1m
ToolBench,payload_only,no,yes,yes,partial,yes,no,arrival timestamps;concurrency model;tenant ID;session ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,med,9,"Best payload for tool-call-loop routing: STATIC trajectories (469585 real API calls, 120k+ solution paths) with Action/Action Input/Thought/observation nodes directly visible; api_list + query_id(session). No timestamps. Data off-GitHub (Google Drive/Tsinghua Cloud).",https://github.com/OpenBMB/ToolBench;https://huggingface.co/datasets/Adorg/ToolBench
tau-bench,payload_only,no,yes,yes,yes,yes,no,arrival timestamps;concurrency model;output length model;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,med,10,"historical_trajectories/ + user-simulator LLM give multi-turn tool-call loops; per-request trace best GENERATED by running run.py (agent loop + LLM user sim yields concurrency/multi-turn). DEPRECATED: directs to tau2-bench. GitHub fetch blocked for C.",https://github.com/sierra-research/tau-bench;https://github.com/sierra-research/tau2-bench
AppWorld,payload_only,partial,yes,partial,partial,yes,partial,arrival timestamps;concurrency model;output length model;tenant ID;LoRA adapter ID;prefix ID;SLO class;API latency;cancellation probability;priority tier;heterogeneity label;P/D routing annotations,high,11,"task_id(session)+instruction+datetime+num_apis+num_api_calls(tool loop counts)+difficulty; supervisor has PII-like person fields (avoid copying). Final assistant text not stored; ReAct+GPT-4o baseline trajectories downloadable; full per-request trace GENERATED by running agent over 457 APIs.",https://github.com/StonyBrookNLP/appworld;https://huggingface.co/datasets/LukaszTP/AppWorld-Tasks
