benchmark_name,input_token_range,output_token_range,io_ratio,prefill_pressure,decode_residency,kv_lifetime,multi_turn_growth,tool_call_frequency,prefix_reuse_potential,arrival_pattern,concurrency_pattern,slo_sensitivity,likely_router_failure_mode,suitability,reason
LMSYS-Chat-1M,50-2000 ESTIMATE,100-1500 ESTIMATE,~1:0.5 to 1:1,medium,medium,medium,large,none,high,interactive,high,strict-TTFT,head-of-line-blocking / kv-cache-pressure / session-affinity-failure,yes,"Real multi-turn chat (1M convs, 210k unique IPs, OpenAI-API conv format); conversation_id present so session-affinity testable. Gating + GDPR redaction limits replay fidelity; see Agent A row."
WildChat-1M,30-2500 MEASURED-short-sample (~25-30 tok) extrapolated,30-2500 ESTIMATE,~1:1,medium,medium,session-persistent,large,none,high,interactive,high,strict-TTFT,session-affinity-failure / kv-cache-pressure / head-of-line-blocking,yes,Conversation_hash + per-turn timestamps + hashed_ip + headers enable end-to-end arrival/session/tenant modeling (Agent C sampled WildChat fields). ODC-BY public. Best chat-trace candidate.
ShareGPT,100-2048 MEASURED (chunked at 2048),50-1500 ESTIMATE,~1:0.7,medium,medium,short (turn boundaries broken),small,none,medium,batch (synthesized),high,strict-TTFT,head-of-line-blocking / decode-backlog-overload,yes,Canonical vLLM benchmark prompt source. 2048-token chunking destroys turn boundaries (Agent A row); use only as prompt corpus + synthesized Poisson arrivals.
UltraChat,100-1500 ESTIMATE,100-1200 ESTIMATE,~1:1,medium,medium,medium,large,none,medium,"batch (synthetic, no arrivals)",high,strict-TTFT,kv-cache-pressure / head-of-line-blocking,maybe,"Synthetic ChatGPT-generated dialogues; distributions are model-shaped not real serving traffic (Agent A). Useful for stress-tests, NOT for arrival-process realism."
OpenAssistant,50-2000 ESTIMATE,100-1500 ESTIMATE,~1:1,medium,medium,medium,large,none,high,batch,medium,strict-TTFT,session-affinity-failure / kv-cache-pressure,maybe,Tree-branched message graph keyed by parent_id/message_tree_id (Agent A); each path must be flattened to a serving session before token-trace extraction.
SWE-bench,2000-30000 ESTIMATE (repo+issue context),100-2000 ESTIMATE (patch),~10:1,high,medium,long (agentic session),large,high,high,batch,batch-synchronized,relaxed,kv-cache-pressure / prefill-starvation-of-decode / unfair-tenant-starvation,yes,Issue text small but real serving load is via SWE-agent harness producing many tool-call turns over a large repo prefix (Agent A). Per-task KV grows monotonically — ideal long-horizon agentic routing test.
SWE-bench Verified,2000-30000 ESTIMATE,100-2000 ESTIMATE,~10:1,high,medium,long,large,high,high,batch,batch-synchronized,relaxed,kv-cache-pressure / prefill-starvation-of-decode,yes,500 human-verified subset of SWE-bench; same routing profile but smaller deterministic set good for reproducibility (Agent A row).
SWE-bench Pro,5000-50000 ESTIMATE (enterprise repos),100-3000 ESTIMATE,~15:1,extreme,medium,long,large,high,high,batch,batch-synchronized,relaxed,OOM / kv-cache-pressure / prefill-starvation-of-decode,yes,problem_statement 419-8.04k chars (Agent A); enterprise long-horizon tasks; agentic harness drives multi-step trace. Best stress-test for very-long-context routing.
SWE-Lancer,1000-20000 ESTIMATE,100-3000 ESTIMATE,~10:1,high,medium,long,large,high,high,batch,batch-synchronized,relaxed,kv-cache-pressure / cancellation-waste,maybe,Original repo archived Jul 2025; active eval moved to openai/preparedness (Agent A). Git LFS hosting; gating unclear. Useful but reproducibility risk.
HumanEval,50-300 MEASURED-from-repo-data,50-500 ESTIMATE,~1:1.5,low,low,short,none,none,none,batch,high,background,decode-backlog-overload (only at very high concurrency),yes,164 single-shot function-completion prompts in repo data/ (Agent A). Good for high-concurrency small-request stress (decode-bound batching).
MBPP,30-200 MEASURED (short NL prompts),30-300 ESTIMATE,~1:1.5,low,low,short,none,none,none,batch,high,background,decode-backlog-overload,yes,"974 full / 427 sanitized rows (Agent A); short single-shot programming prompts, ideal for batch concurrency and tiny-request throughput."
LiveCodeBench,500-3000 ESTIMATE (competitive programming statements),100-1500 ESTIMATE,~3:1,medium,medium,short,none,none,low,batch,high,background,decode-backlog-overload,yes,Single-shot LeetCode/AtCoder/Codeforces problems (release_v6 thru Apr 2025; Agent A). Medium-length statement + structured solution = balanced prefill/decode.
