dataset_key,hf_id,config,split,tokenizer,n_samples,in_min,in_p50,in_p90,in_p99,in_max,in_mean,out_p50,out_p90,out_p99,out_max,out_mean
GSM8K,openai/gsm8k,main,test,cl100k_base,400,23,54,88,123,132,58,91,159,222,310,100
GovReport-sum,ccdv/govreport-summarization,document,test,cl100k_base,100,2138,8656,16538,21751,22192,9470,706,903,1411,1427,743
HotpotQA,hotpotqa/hotpot_qa,distractor,validation,cl100k_base,300,8,20,31,43,52,22,3,6,11,23,4
HumanEval,openai/openai_humaneval,,test,cl100k_base,164,38,117,226,311,391,131,46,107,157,240,54
LongBench-2wikimqa,THUDM/LongBench,2wikimqa,test,cl100k_base,150,932,6334,12286,15750,16142,6906,6,9,14,24,6
LongBench-gov_report,THUDM/LongBench,gov_report,test,cl100k_base,120,2019,8740,18330,42706,51394,10897,723,895,1406,1459,732
LongBench-hotpotqa,THUDM/LongBench,hotpotqa,test,cl100k_base,150,1771,14399,16286,16341,16347,13051,5,8,20,30,6
LongBench-multifieldqa_en,THUDM/LongBench,multifieldqa_en,test,cl100k_base,150,1298,7006,11521,14182,14962,6951,15,28,53,107,17
LongBench-narrativeqa,THUDM/LongBench,narrativeqa,test,cl100k_base,150,7973,31324,59771,65288,65293,29499,6,13,22,34,8
LongBench-qasper,THUDM/LongBench,qasper,test,cl100k_base,150,1855,4509,7654,18445,21129,5012,26,87,312,491,42
MATH-500,HuggingFaceH4/MATH-500,,test,cl100k_base,400,6,49,141,343,756,70,150,422,818,1281,203
MBPP,google-research-datasets/mbpp,full,test,cl100k_base,400,8,16,21,37,47,16,46,107,197,237,57
MuSiQue,dgslibisey/MuSiQue,,validation,cl100k_base,300,7,15,23,27,31,16,4,8,16,16,4
MultiNews,multi_news,,test,cl100k_base,150,138,1611,4144,18702,35752,2605,274,365,403,428,269
NarrativeQA,deepmind/narrativeqa,,test,cl100k_base,200,24,44,70,102,115,49,49,99,129,143,58
PubMed-sum,ccdv/pubmed-summarization,section,test,cl100k_base,120,77,3598,8177,12778,12943,4169,251,425,528,580,267
RAGBench-hotpotqa,galileo-ai/ragbench,hotpotqa,test,cl100k_base,200,8,19,27,42,44,20,25,42,58,74,27
RepoBench-py,tianyang/repobench_python_v1.1,cross_file_first,test,cl100k_base,200,11,262,742,1085,1157,338,12,21,38,51,13
SWE-bench-Lite,SWE-bench/SWE-bench_Lite,,test,cl100k_base,300,49,264,849,2301,6939,440,206,437,886,1087,259
SWE-bench-Verified,SWE-bench/SWE-bench_Verified,,test,cl100k_base,200,35,268,738,2164,2407,373,220,728,2275,4049,363
TriviaQA-rc,mandarjoshi/trivia_qa,rc.nocontext,validation,cl100k_base,300,6,14,20,25,26,14,166,497,1026,1744,231
arXiv-sum,ccdv/arxiv-summarization,section,test,cl100k_base,120,1039,6516,13858,21108,26625,7307,182,305,409,433,195
